num,tokens
168,"['Blair', 'dismiss', 'quit', 'claim', 'report', 'tony', 'Blair', 'dismiss', 'report', 'tell', 'gordon', 'brown', 'would', 'quit', 'next', 'general', 'election', 'deal', 'job', 'like', 'prime', 'minister', 'tell', 'bbc', 'one', 'breakfast', 'frost', 'programme', 'accord', 'new', 'book', 'brown', 'britain', 'Mr', 'Blair', 'go', 'back', 'pledge', 'make', 'way', 'Mr', 'brown', 'cabinet', 'ally', 'intervene', 'June', '2004', '.', 'Mr', 'Blair', 'say', 'claim', 'reheat', 'six', 'month', 'ago', 'concentrate', 'run', 'country', 'Mr', 'Blair', 'say', ':', 'deal', 'six', 'month', 'ago', 'say', 'deal', 'job', 'like', 'us', 'actually', 'concentrate', 'issue', 'concern', 'country', 'book', 'Sunday', 'telegraph', 'journalist', 'robert', 'peston', 'serialise', 'newspaper', 'say', 'pair', 'mutual', 'animosity', 'contempt', 'claim', 'tony', 'blair', 'feel', 'November', '2003', 'lose', 'voter', 'trust', 'iraq', 'war', 'longer', 'asset', 'labour', 'party', 'dinner', 'host', 'deputy', 'prime', 'minister', 'john', 'prescott', 'tell', 'Mr', 'brown', 'intention', 'stand', 'accord', 'Mr', 'peston', 'prime', 'minister', 'say', ':', 'help', 'get', 'year', 'stand', 'change', 'mind', 'June', '2004', 'follow', 'intervention', 'ally', 'cabinet', 'suspicion', 'chancellor', 'deliberately', 'manoeuvre', 'accord', 'book', 'Mr', 'peston', 'tell', 'bbc', 'news', ':', 'understanding', 'nearly', 'close', 'friendly', 'book', 'say', 'pretty', 'profound', 'mutual', 'mistrust', 'mutual', 'animosity', 'think', 'public', 'see', 'double-act', 'pretend', 'everything', 'alright', 'private', 'think', 'relationship', 'good', 'brown', 'understandably', 'feel', 'deeply', 'betray', 'particularly', 'issue', 'leadership', 'wide-ranging', 'bbc', 'interview', 'cover', 'issue', 'Asian', 'tsunami', 'disaster', 'middle', 'east', 'peace', 'process', 'northern', 'ireland', 'Mr', 'Blair', 'say', ':', 'get', 'top', 'politics', 'get', 'huge', 'swell', 'around', 'sort', 'people', 'make', 'sort', 'claim', 'counter-claim', 'admit', 'sense', 'frustration', 'allegation', 'say', 'make', 'countless', 'time', 'fresh', 'speculation', 'rift', 'recently', 'follow', 'separate', 'response', 'Asian', 'tsunami', 'rumour', 'fuel', 'Mr', 'Blair', 'decision', 'hold', 'monthly', 'medium', 'conference', 'time', 'long-planned', 'speech', 'Mr', 'brown', 'Uk', 'plan', 'tackle', 'global', 'poverty', 'new', 'marshall', 'plan', 'africa', 'speculation', 'pair', 'try', 'outdo', 'response', 'disaster', 'prime', 'minister', 'say', 'discuss', 'claim', 'chancellor', 'dismiss', 'load', 'nonsense', 'former', 'welfare', 'minister', 'frank', 'field', 'mp', 'say', 'prime', 'minister', 'sack', 'Mr', 'brown', 'believe', 'Mr', 'blair', 'strong', 'enough', 'Tory', 'leader', 'Michael', 'Howard', 'accuse', 'prime', 'minister', 'Mr', 'brown', 'squabbling', 'like', 'schoolboy', 'tell', 'sky', 'news', 'Sunday', 'adam', 'boulton', ':', 'politics', 'playground', 'britain', 'really', 'deserve', 'well', 'liberal', 'democrat', 'parliamentary', 'chairman', 'matthew', 'taylor', 'say', 'personal', 'ambition', 'Mr', 'Blair', 'Mr', 'brown', 'get', 'way', 'good', 'government', 'either', 'need', 'grow', 'put', 'squabble', 'one', 'side', 'expect', 'electorate', 'support', 'divide', 'government', 'next', 'election', 'interview', 'Mr', 'Blair', 'also', 'say', 'former', 'home', 'secretary', 'david', 'blunkett', 'would', 'play', 'big', 'role', 'general', 'election']"
169,"['star', 'gear', 'bafta', 'ceremony', 'film', 'star', 'across', 'globe', 'prepare', 'walk', 'red', 'carpet', 'year', 'bafta', 'award', 'ceremony', '2005', 'orange', 'British', 'academy', 'film', 'award', 'hold', 'odeon', 'london', 'leicester', 'square', 'host', 'hollywood', 'star', 'include', 'cate', 'blanchett', 'leonardo', 'dicaprio', 'keanu', 'reeve', 'richard', 'gere', 'expect', 'attend', 'Saturday', 'ceremony', 'host', 'stephen', 'fry', 'glitter', 'ceremony', 'broadcast', 'bbc', 'one', '2010', 'gmt', 'actor', 'expect', 'add', 'glamour', 'big', 'night', 'Uk', 'film', 'Gael', 'Garcia', 'bernal', 'imelda', 'staunton', 'diane', 'kruger', 'Christian', 'slater', 'anjelica', 'huston', 'helen', 'mirren', 'former', 'james', 'bond', 'star', 'pierce', 'brosnan', 'hollywood', 'blockbuster', 'aviator', 'star', 'dicaprio', 'lead', 'field', '14', 'nomination', 'include', 'good', 'film', 'eternal', 'sunshine', 'spotless', 'mind', 'find', 'neverland', 'motorcycle', 'diary', 'British', 'film', 'vera', 'drake', '11', 'nomination', 'British', 'hope', 'imelda', 'staunton', 'one', 'favourite', 'land', 'good', 'actress', 'award', 'gritty', 'role', 'backstreet', 'abortionist', 'small-budget', 'film', 'nominee', 'good', 'actress', 'category', 'include', 'charlize', 'theron', 'monster', 'ziyi', 'zhang', 'house', 'fly', 'dagger', 'uk', 'star', 'kate', 'winslet', 'two', 'nod', 'role', 'eternal', 'sunshine', 'spotless', 'mind', 'find', 'neverland', 'Dicaprio', 'face', 'competition', 'bernal', 'jamie', 'foxx', 'jim', 'carrey', 'johnny', 'depp', 'good', 'actor', 'category', 'British', 'actor', 'clive', 'owen', 'hope', 'repeat', 'golden', 'globe', 'success', 'well', 'supporting', 'actor', 'award', 'role', 'closer', 'co-star', 'natalie', 'portman', 'Blanchett', 'heather', 'craney', 'julie', 'cristie', 'meryl', 'streep', 'well', 'supporting', 'actress', 'category', 'mike', 'leigh', 'good', 'director', 'award', 'vera', 'drake', 'alongside', 'martin', 'scorsese', 'aviator', 'Michael', 'Mann', 'collateral', 'michel', 'gondry', 'eternal', 'sunshine', 'spotless', 'mind', 'marc', 'forster', 'find', 'neverland']"
170,"['fox', 'attack', 'Blair', 'Tory', 'lie', 'tony', 'blair', 'lie', 'take', 'uk', 'war', 'qualm', 'lie', 'election', 'campaign', 'say', 'Tory', 'Tory', 'co-chairman', 'Liam', 'fox', 'speak', 'Mr', 'Blair', 'tell', 'labour', 'member', 'Tory', 'offer', 'hard', 'right', 'agenda', 'Dr', 'fox', 'tell', 'bbc', 'radio', ':', 'willing', 'lie', 'reason', 'go', 'war', 'guess', 'go', 'lie', 'anything', 'would', 'discuss', 'report', 'party', 'repay', '¬', '£', '500', '000', 'lord', 'ashcroft', 'predict', 'election', 'defeat', 'prime', 'minister', 'ratchete', 'labour', 'pre-election', 'campaigning', 'weekend', 'helicopter', 'tour', 'country', 'speech', 'party', 'spring', 'conference', 'insist', 'know', 'poll', 'date', 'widely', 'expect', '5', 'may', 'see', 'highly', 'personal', 'speech', 'gateshead', 'Sunday', 'Mr', 'Blair', 'say', ':', 'passion', 'hunger', 'first', 'walk', 'door', '10', 'street', 'describe', 'relationship', 'public', 'start', 'euphoric', 'struggle', 'live', 'expectation', 'reach', 'point', 'raise', 'voice', 'throw', 'crockery', 'warn', 'supporter', 'complacency', 'say', ':', 'fight', 'future', 'country', 'fight', 'britain', 'people', 'britain', 'win', 'Mr', 'Blair', 'say', 'whether', 'public', 'choose', 'Michael', 'Howard', 'Mr', 'Kennedy', 'would', 'result', 'Tory', 'government', 'labour', 'government', 'country', 'go', 'back', 'move', 'forward', 'Dr', 'fox', 'accuse', 'Mr', 'Blair', 'cabinet', 'minister', 'tell', 'lie', 'opponent', 'policy', 'attack', 'lie', 'learn', 'weekend', 'labour', 'tactic', 'go', 'go', 'fear', 'smear', 'tell', 'bbc', 'news', 'Tory', 'co-chairman', 'attack', 'labour', 'six', 'new', 'pledge', 'vacuous', 'say', 'Mr', 'Blair', 'worry', 'voter', 'would', 'take', 'revenge', 'failure', 'deliver', 'Dr', 'fox', 'refuse', 'discuss', 'weekend', 'newspaper', 'report', 'party', 'repay', '¬', '£', '500', '000', 'former', 'Tory', 'treasurer', 'lord', 'ashcroft', 'say', 'party', 'could', 'win', 'election', 'repay', 'loan', 'due', 'comment', 'individual', 'financial', 'matter', 'say', 'insist', 'enjoy', 'warm', 'constructive', 'relationship', 'lord', 'ashcroft', 'meanwhile', 'lib', 'dem', 'leader', 'charles', 'Kennedy', 'expect', 'attack', 'Mr', 'Blair', 'word', 'begin', 'nationwide', 'tour', 'Monday', 'Mr', 'Kennedy', 'accelerate', 'lib', 'dem', 'election', 'preparation', 'week', 'visit', 'manchester', 'liverpool', 'leicester', 'somerset', 'basingstoke', 'shrewsbury', 'dorset', 'torbay', 'say', ':', 'three-party', 'politics', 'northern', 'city', 'contest', 'labour', 'liberal', 'democrat', 'southern', 'rural', 'seat', 'especially', 'south', 'west', 'principal', 'contender', 'liberal', 'democrat', 'conservative', 'running', 'scotland', 'wale', 'lib', 'dems', 'accuse', 'Mr', 'Blair', 'make', 'touchy-feely', 'speech', 'labour', 'delegate', 'help', 'regain', 'public', 'trust']"
171,"['red', 'sink', '10-man', 'magpie', 'titus', 'bramble', 'goal', 'put', 'liverpool', 'comeback', 'trail', 'injury-hit', 'newcastle', 'well', 'beat', 'anfield', 'patrick', 'kluivert', 'close-range', 'finish', 'put', 'newcastle', 'ahead', '31', 'minute', 'peg', 'back', 'bramble', 'head', 'steven', 'Gerrard', 'corner', 'neil', 'mellor', 'give', 'liverpool', 'lead', 'half-time', 'milan', 'baros', 'pass', 'Czech', 'add', 'third', 'round', 'shay', 'give', 'hour', 'Newcastle', 'lee', 'bowyer', 'send', 'two', 'bookable', 'offence', 'liverpool', 'bring', 'back', 'luis', 'garcia', 'hamstring', 'injury', 'newcastle', 'force', 'draft', 'kluivert', 'craig', 'Bellamy', 'late', 'withdrawal', 'back', 'injury', 'sustain', 'warm-up', 'garcia', 'crown', 'return', 'goal', 'inside', 'opening', 'minute', 'take', 'pass', 'baros', 'shoot', 'wildly', 'top', 'eight', 'yard', 'Olivier', 'Bernard', 'inch', 'away', 'give', 'newcastle', 'lead', '20', 'minute', 'fire', 'wide', 'free-kick', '25', 'yard', 'souness', 'side', 'go', 'ahead', '11', 'minute', 'later', 'highly', 'controversial', 'circumstance', 'kluivert', 'look', 'suspiciously', 'offside', 'kieron', 'dyer', 'set', 'bowyer', 'free', 'Dutchman', 'perfectly', 'place', 'score', 'six', 'yard', 'lead', 'last', 'three', 'minute', 'liverpool', 'back', 'term', 'bramble', 'head', 'Gerrard', 'corner', 'net', 'pressure', 'sami', 'hyypia', 'liverpool', 'ahead', '37', 'minute', 'baros', 'slide', 'perfect', 'pass', 'mellor', 'path', 'youngster', 'slip', 'slide-rule', 'finish', 'give', 'bottom', 'corner', 'garcia', 'finish', 'wayward', 'wasteful', 'first-half', 'injury', 'time', 'shoot', 'tamely', 'give', 'good', 'work', 'xabi', 'Alonso', 'hope', 'newcastle', 'recovery', 'look', 'snuff', 'hour', 'brilliant', 'turn', 'pass', 'harry', 'kewell', 'set', 'baros', 'free', 'round', 'give', 'score', 'jermaine', 'jenas', 'miss', 'glorious', 'chance', 'throw', 'newcastle', 'lifeline', 'shoot', 'eight', 'yard', 'shola', 'ameobi', 'cross', 'bowyer', 'already', 'book', 'foul', 'alonso', 'deservedly', 'show', 'red', 'card', 'referee', 'graham', 'poll', 'wild', 'challenge', 'liverpool', 'substitute', 'florent', 'sinama-pongolle', 'Dudek', 'finnan', 'hyypia', 'carragher', 'riise', 'Luis', 'Garcia', 'Nunez', '73', 'Gerrard', 'Alonso', 'kewell', 'traore', '85', 'baros', 'mellor', 'sinama', 'pongolle', '75', 'sub', 'use', ':', 'Hamann', 'Harrison', 'bramble', '35', 'og', 'mellor', '38', 'baros', '61.', 'give', 'andrew', 'Brien', 'Elliott', 'bramble', 'bernard', 'bowyer', 'dyer', 'ambrose', '80', 'jenas', 'Milner', 'n', 'zogbia', '72', 'kluivert', 'Robert', '58', 'ameobi', 'sub', 'use', ':', 'harper', 'bowyer', '77', 'bowyer', 'elliott', 'bernard', 'kluivert', '32', '.', '43', '856.', 'g', 'poll', 'Hertfordshire']"
172,"['australia', 'rate', 'four', 'year', 'high', 'australia', 'raise', 'benchmark', 'interest', 'rate', 'high', 'level', 'four', 'year', 'despite', 'sign', 'slowdown', 'country', 'economy', 'reserve', 'bank', 'australia', 'lift', 'interest', 'rate', '0.25', '%', '5.5', '%', 'first', 'upwards', 'move', 'year', 'however', 'shortly', 'bank', 'make', 'decision', 'new', 'figure', 'show', 'fall', 'economic', 'growth', 'last', 'quarter', 'bank', 'say', 'act', 'curb', 'inflation', 'move', 'criticise', 'analyst', 'rate', 'hike', 'first', 'since', 'December', '2003', 'well-flag', 'advance', 'however', 'opposition', 'party', 'analyst', 'say', 'move', 'ill-timed', 'give', 'datum', 'show', 'Australian', 'economy', 'grow', '0.1', '%', 'October', 'December', '1.5', '%', 'annual', 'basis', 'figure', 'represent', 'decline', '0.2', '%', 'growth', 'gdp', 'see', 'July', 'September', 'market', 'expectation', 'consumer', 'spending', 'remain', 'strong', 'however', 'bank', 'concern', 'grow', 'inflationary', 'pressure', 'recent', 'month', 'become', 'increasingly', 'clear', 'remain', 'spare', 'capacity', 'labour', 'good', 'market', 'become', 'rather', 'limited', 'say', 'ian', 'macfarlane', 'governor', 'reserve', 'bank', '2.6', '%', 'inflation', 'remain', 'within', 'bank', '2-3', '%', 'target', 'range', 'however', 'export', 'decline', 'second', 'half', '2004', 'fuel', 'rise', 'country', 'current', 'account', 'deficit', 'difference', 'value', 'import', 'compare', 'export', 'record', 'Australian', 'dollar', '29.4bn', 'Australian', 'government', 'say', 'economy', 'remain', 'strong', 'unemployment', 'near', '30', 'year', 'low', 'economy', 'strong', 'properly', 'moderate', 'look', 'like', 'slow', 'unreasonable', 'way', 'say', 'treasurer', 'peter', 'costello', 'stock', 'market', 'factor', 'likelihood', 'rate', 'rise', 'analyst', 'still', 'express', 'concern', 'strength', 'economy', '1.5', '%', 'annual', 'growth', 'rate', 'low', 'see', 'since', 'post-election', 'slump', 'see', 'back', '2000-1', 'say', 'Michael', 'Blythe', 'chief', 'economist', 'commonwealth', 'bank', 'australia', 'suggest', 'economy', 'really', 'slow', 'sharply', 'second', 'half', '2004', '.']"
173,"['common', 'hunt', 'protest', 'charge', 'eight', 'protester', 'storm', 'house', 'commons', 'chamber', 'debate', 'hunting', 'bill', 'charge', 'disorderly', 'conduct', 'man', 'arrest', 'September', 'burst', 'chamber', 'cause', 'hunting', 'ban', 'debate', 'halt', 'charge', 'include', 'otis', 'ferry', '22-year-old', 'son', 'rock', 'star', 'bryan', 'ferry', 'luke', 'tomlinson', '27', 'close', 'friend', 'prince', 'william', 'harry', 'charge', 'section', '5', 'public', 'order', 'act', 'police', 'say', 'five', 'eight', 'man', 'hold', 'impromptu', 'news', 'conference', 'outside', 'chare', 'cross', 'police', 'station', 'Monday', 'evening', 'charge', 'formerly', 'put', 'man', 'solicitor', 'matthew', 'knight', 'say', 'time', 'occur', 'man', 'commit', 'criminal', 'offence', 'offence', 'trespassing', 'house', 'commons', 'criminal', 'offence', 'say', 'parliament', 'want', 'make', 'enter', 'house', 'commons', 'chamber', 'foot', 'criminal', 'offence', 'retrospectively', 'prosecute', 'prosecute', 'public', 'order', 'act', 'offence', 'guilty', 'appear', 'bow', 'street', 'magistrate', 'court', '21', 'December', 'police', 'spokesman', 'say', 'otis', 'ferry', 'former', 'eton', 'pupil', 'joint', 'leader', 'south', 'Shropshire', 'hunt', 'say', ':', 'regret', 'nothing', 'wrong', 'beyond', 'obvious', 'stand', 'right', 'act', 'like', 'sheep', 'like', 'rest', 'country', 'one', 'man', 'david', 'redvers', '34', 'hartpury', 'Gloucestershire', 'say', 'seven', 'protester', 'would', 'plead', 'guilty', 'charge', 'protester', 'john', 'holliday', '37', 'huntsman', 'ledbury', 'herefordshire', 'robert', 'thame', '34', 'play', 'polo', 'prince', 'charles', 'team', 'highgrove', 'auctioneer', 'andrew', 'elliot', '42', 'bromesberrow', 'near', 'ledbury', 'point-to-point', 'jockey', 'richard', 'Wakeham', '34', 'york', 'former', 'royal', 'chef', 'nick', 'wood', '41.', '15', 'September', 'protest', 'come', 'day', 'huge', 'pro-hunting', 'demonstration', 'parliament', 'square', 'four', 'man', 'run', 'behind', 'speaker', 'chair', 'another', 'wrestle', 'past', 'doorkeeper', 'different', 'entrance', 'five', 'try', 'confront', 'mps', 'bundle', 'chamber', 'later', 'lead', 'away', 'handcuff', 'police', 'three', 'intercept', 'security', 'staff', 'try', 'join', 'five', 'chamber', 'speaker', 'michael', 'martin', 'later', 'say', 'man', 'use', 'forge', 'letter', 'gain', 'access', 'house', 'common', 'help', 'get', 'close', 'chamber', 'parliamentary', 'pass', 'holder', 'November', 'use', 'parliament', 'act', 'mean', 'total', 'ban', 'hunting', 'dog', 'england', 'wale', 'however', 'many', 'pro-hunt', 'activist', 'remain', 'defiant', 'law', 'pass', 'say', 'would', 'ignore', 'ban', 'continue', 'hunt', 'last', 'week', 'countryside', 'alliance', 'say', '250', 'hunt', 'would', 'meet', 'legally', 'day', 'ban', 'hunting', 'dog', 'come', 'force', 'alliance', 'say', '19', 'february', 'meet', 'would', 'show', 'new', 'law', 'impossibly', 'difficult', 'determine', 'open', 'different', 'interpretation']"
174,"['mps', 'debate', 'euthanasia', 'law', 'mps', 'prepare', 'debate', 'bill', 'critic', 'claim', 'would', 'legalise', 'euthanasia', 'back', 'door', 'bill', 'would', 'give', 'legal', 'force', 'live', 'people', 'say', 'want', 'medical', 'treatment', 'withhold', 'become', 'severely', 'incapacitate', 'mental', 'capacity', 'bill', 'broad', 'support', 'charity', 'say', 'would', 'give', 'good', 'safeguard', 'treatment', 'Christian', 'group', 'say', 'could', 'mean', 'doctor', 'withhold', 'food', 'fluid', 'even', 'think', 'inappropriate', 'minister', 'insist', 'mental', 'capacity', 'bill', 'england', 'wale', 'would', 'change', 'law', 'assist', 'suicide', 'contain', 'presumption', 'favour', 'preserve', 'life', 'bill', 'would', 'establish', 'legal', 'presumption', 'everybody', 'make', 'decision', 'treatment', 'unless', 'prove', 'otherwise', 'would', 'allow', 'people', 'give', 'somebody', 'power', 'attorney', 'make', 'decision', 'behalf', 'could', 'challenge', 'doctor', 'critic', 'fear', 'could', 'allow', 'kill', 'omission', 'withdraw', 'treatment', 'amendment', 'bill', 'specifically', 'prevent', 'decision', 'would', 'bring', 'death', 'table', 'former', 'conservative', 'leader', 'iain', 'duncan', 'smith', 'ninety', 'one', 'mps', 'sign', 'petition', 'back', 'amendment', 'mps', 'could', 'vote', 'later', 'Tuesday', 'bill', 'report', 'stage', 'debate', 'bill', 'go', 'third', 'reading', 'debate', 'lord', 'become', 'law', 'Christian', 'medical', 'fellowship', 'cmf', 'lawyer', 'Christian', 'fellowship', 'lcf', 'say', 'mental', 'capacity', 'bill', 'would', 'allow', 'euthanasia', 'back', 'door', 'peter', 'saunders', 'cmf', 'say', 'believe', 'advance', 'refusal', 'advisory', 'legally', 'binding', 'cmf', 'concern', 'patient', 'make', 'unwise', 'hasty', 'advance', 'decision', 'refuse', 'food', 'fluid', 'without', 'properly', 'inform', 'diagnosis', 'expect', 'course', 'illness', 'take', 'say', 'lcf', 'Andrea', 'Williams', 'say', 'many', 'loophole', 'could', 'abuse', 'unscrupulous', 'doctor', 'ex-labour', 'minister', 'frank', 'field', 'tell', 'bbc', 'two', 'newsnight', 'programme', 'danger', 'people', 'would', 'feel', 'pressure', 'away', 'relative', 'could', 'inherit', 'asset', 'constitutional', 'affair', 'minister', 'david', 'lammy', 'say', 'law', 'affect', '750', '000', 'people', 'dementia', 'need', 'update', 'Mr', 'lammy', 'tell', 'bbc', 'news', 'labour', 'mps', 'would', 'get', 'free', 'vote', 'law', 'strengthen', 'change', 'euthanasia', 'assist', 'suicide', 'situation', 'people', 'make', 'live', 'force', 'common', 'law', 'say', 'doctor', 'say', 'want', 'clarity', 'patient', 'say', 'want', 'clarity', 'make', 'decision', 'alliance', 'include', 'Alzheimer', 'society', 'age', 'concern', 'mencap', 'national', 'autistic', 'society', 'say', 'misunderstanding', 'bill', 'clear', 'change', 'current', 'law', 'euthanasia', 'actually', 'provide', 'series', 'good', 'safeguard', 'decision', 'make', 'people', 'lack', 'capacity', 'alliance', 'say', 'statement', 'British', 'medical', 'association', 'also', 'back', 'bill', 'say', 'give', 'incapacitate', 'people', 'right', 'debate', 'legalise', 'euthanasia', 'intensify', 'uk', 'case', 'like', 'motor', 'neurone', 'patient', 'diane', 'pretty', 'die', 'two', 'year', 'ago', 'lose', 'legal', 'battle', 'allow', 'husband', 'help', 'commit', 'suicide']"
175,"['Chinese', 'export', 'rise', '25', '%', '2004', 'export', 'china', 'leap', '2004', 'previous', 'year', 'country', 'continue', 'show', 'breakneck', 'growth', 'spurt', 'put', 'china', 'trade', 'surplus', 'sore', 'point', 'trading', 'partner', 'six-year', 'high', 'may', 'also', 'increase', 'pressure', 'china', 'relax', 'peg', 'join', 'currency', 'yuan', 'weakening', 'dollar', 'figure', 'release', 'ministry', 'commerce', 'come', 'china', 'tax', 'chief', 'confirm', 'growth', 'top', '9', '%', '2004', 'second', 'year', 'row', 'state', 'administration', 'taxation', 'head', 'xie', 'xuren', 'say', 'tightening', 'control', 'tax', 'evasion', 'combine', 'rapid', 'expansion', 'produce', '25.7', '%', 'rise', 'tax', 'revenue', '2.572', 'trillion', 'yuan', '$', '311bn', ';', '¬', '£', '165bn', 'accord', 'ministry', 'commerce', 'china', 'export', 'total', '$', '63.8bn', 'December', 'take', 'annual', 'total', '35.4', '%', '$', '593.4bn', 'import', 'rise', 'similar', 'amount', 'deficit', 'rise', '$', '43.4bn', 'increase', 'tax', 'take', 'come', 'despite', 'healthy', 'tax', 'rebate', 'many', 'exporter', 'total', '420bn', 'yuan', '2004', 'accord', 'Mr', 'xie', 'china', 'export', 'success', 'make', 'trade', 'deficit', 'unite', 'state', 'soar', 'even', 'make', 'trade', 'china', 'sensitive', 'political', 'issue', 'washington', 'peg', 'keep', 'yuan', 'around', '8.30', 'dollar', 'often', 'blame', 'us', 'lawmaker', 'job', 'loss', 'home', 'us', 'report', 'issue', 'Tuesday', 'behalf', 'congressionally-mandated', 'panel', 'say', 'almost', '1.5', 'million', 'post', 'disappear', '1989', '2003.', 'pace', 'accelerate', 'final', 'three', 'year', 'period', 'say', 'report', 'us-china', 'economic', 'security', 'review', 'commission', 'move', 'labour-intensive', 'industry', 'hi-tech', 'sector', 'us', 'overall', 'trade', 'deficit', 'china', '$', '124bn', '2003', 'expect', 'rise', '$', '150bn', '2004', '.']"
176,"['carry', 'star', 'patsy', 'rowland', 'die', 'actress', 'patsy', 'rowland', 'know', 'million', 'role', 'carry', 'film', 'die', 'age', '71.', 'rowland', 'star', 'nine', 'popular', 'carry', 'film', 'alongside', 'fellow', 'regular', 'sid', 'james', 'Kenneth', 'Williams', 'Barbara', 'windsor', 'also', 'carve', 'successful', 'television', 'career', 'appear', 'many', 'year', 'itv', 'well-loved', 'comedy', 'bless', 'house', 'rowland', 'die', 'heave', 'Saturday', 'morning', 'agent', 'say', 'bear', 'january', '1934', 'rowland', 'win', 'scholarship', 'guildhall', 'school', 'speech', 'drama', 'scholarship', '15.', 'spend', 'several', 'year', 'player', 'theatre', 'london', 'make', 'film', 'debut', '1963', 'tom', 'jones', 'direct', 'tony', 'richardson', 'make', 'first', 'carry', 'film', '1969', 'appear', 'carry', 'doctor', 'rowland', 'play', 'hard-done-by', 'wife', 'put-upon', 'employee', 'regular', 'carry', 'star', 'also', 'appear', 'carry', 'convenience', 'carry', 'matron', 'carry', 'love', 'well', 'recent', 'year', 'appear', 'bbc', 'mini-sery', 'cazalets', 'play', 'mrs', 'potts', 'london', 'stage', 'version', 'beauty', 'beast', 'agent', 'simon', 'Beresford', 'say', ':', 'absolutely', 'favourite', 'client', 'never', 'complain', 'anything', 'particularly', 'ill', 'old', 'trouper', 'old', 'school', 'skill', 'musical', 'theatre', 'high', 'drama', 'work', 'great', 'good', 'director', 'mind', 'always', 'recognise', 'carry', 'film', 'thoroughly', 'enjoy', 'make', 'really', 'lovely', 'person', 'much', 'miss', 'last', 'appearance', 'stage', 'mrs', 'pearce', 'award-winning', 'production', 'fair', 'lady', 'national', 'theatre', 'previously', 'marry', 'leave', 'one', 'son', 'alan', 'funeral', 'private', 'family', 'occasion', 'memorial', 'service', 'late', 'date']"
177,"['gb', 'quartet', 'get', 'cross', 'country', 'call', 'four', 'British', 'athlete', 'pre-selected', 'compete', 'world', 'cross', 'country', 'championship', 'march', 'impressive', 'start', 'season', 'hayley', 'yell', 'jo', 'pavey', 'karl', 'keska', 'adam', 'hickey', 'represent', 'team', 'gb', 'event', 'france', 'yell', 'clinch', 'woman', 'European', 'cross', 'country', 'title', 'last', 'month', 'pavey', 'follow', 'bronze', 'keska', 'help', 'man', 'team', 'overall', 'third', 'place', 'hickey', 'finish', '10th', 'place', 'junior', 'debut', 'win', 'European', 'cross', 'country', 'title', 'mean', 'much', 'say', 'yell', 'pre-selected', 'world', 'mean', 'focus', 'prepare', 'good', 'way', 'possible', '32-year-old', 'race', 'alongside', 'Olympic', '5', '000m', 'finalist', 'pavey', 'woman', '8km', 'race', '19', 'march', 'keska', 'make', 'successful', 'return', 'long-term', 'injury', 'lay-off', 'contest', 'man', '12km', 'race', '20', 'march', '16-year-old', 'hickey', 'go', 'junior', 'man', '8km', 'day', 'rest', 'team', 'name', 'trial', 'wollaton', 'park', 'nottingham', 'take', 'place', '5', 'march']"
